st_code,st_date,st_open,st_close,st_volume
FB,2018-10-18,157.13,153.57,21675100
FB,2018-10-19,154.5,152.71,19761300
FB,2018-10-22,153.41,153.43,15424700
FB,2018-10-23,149.9,153.05,19095000
FB,2018-10-24,152.94,144.77,27744600
FB,2018-10-25,146.44,149.64,22105700
FB,2018-10-26,144.55,144.1,31303300
FB,2018-10-29,147.21,140.85,31336800
FB,2018-10-30,138.72,144.95,50528300
FB,2018-10-31,153.65,150.47,60101300
FB,2018-11-01,150.2,150.43,25640800
FB,2018-11-02,150.48,149.04,24708700
FB,2018-11-05,148.79,147.39,15971200
FB,2018-11-06,148.01,148.63,16667100
FB,2018-11-07,150.25,150.21,21877400
FB,2018-11-08,149.18,146.58,24145800
FB,2018-11-09,145.47,143.7,17326900
FB,2018-11-12,143.22,140.32,18542100
FB,2018-11-13,140.76,140.92,15141700
FB,2018-11-14,142.45,142.96,22068400
FB,2018-11-15,141.09,142.6,30320300
FB,2018-11-16,139.84,138.32,37250600
FB,2018-11-19,136.41,130.4,44362700
FB,2018-11-20,125.92,131.28,41939500
FB,2018-11-21,133.23,133.65,25469700
FB,2018-11-23,132.49,130.58,11886100
FB,2018-11-26,131.84,135.19,24263600
FB,2018-11-27,134.57,133.82,20750300
FB,2018-11-28,135.09,135.57,29847500
FB,2018-11-29,134.74,137.47,24238700
FB,2018-11-30,137.06,139.39,25732600
FB,2018-12-03,141.76,139.86,24819200
FB,2018-12-04,139.5,136.73,30307400
FB,2018-12-06,132.66,138.41,28218100
FB,2018-12-07,138.04,136.22,21195500
FB,2018-12-10,138.38,140.62,26422200
FB,2018-12-11,142.63,140.84,20300300
FB,2018-12-12,141.83,143.24,23696900
FB,2018-12-13,144.3,143.75,18148600
FB,2018-12-14,142.09,142.81,21785800
FB,2018-12-17,141.83,138.97,24334000
FB,2018-12-18,139.85,142.41,24709100
FB,2018-12-19,139.98,132.08,57404900
FB,2018-12-20,129.56,132.24,40297900
FB,2018-12-21,132.23,123.86,56901500
FB,2018-12-24,122.03,122.98,22066000
FB,2018-12-26,124.9,133.01,39723400
FB,2018-12-27,131.29,133.35,31202500
FB,2018-12-28,134.16,132.04,22627600
FB,2018-12-31,133.28,129.95,24625300
FB,2019-01-02,127.87,134.5,28146200
FB,2019-01-03,133.52,130.59,22717900
FB,2019-01-04,132.84,136.75,29002100
FB,2019-01-07,136.36,136.85,20089300
FB,2019-01-08,138.67,141.29,26263800
FB,2019-01-09,141.71,142.97,22205900
FB,2019-01-10,141.83,142.94,16125000
FB,2019-01-11,141.9,142.55,12908000
FB,2019-01-14,140.76,144.12,20520300
FB,2019-01-15,144.74,147.65,24069000
FB,2019-01-16,147.7,146.26,18025700
