st_code,st_date,st_open,st_close,st_volume
GOOGL,2018-10-18,56.5,54.9,46152000
GOOGL,2018-10-19,55.19,55.26,41286000
GOOGL,2018-10-22,55.63,55.57,27116000
GOOGL,2018-10-23,54.56,55.75,37686000
GOOGL,2018-10-24,55.75,52.86,49286000
GOOGL,2018-10-25,54.01,55.18,72956000
GOOGL,2018-10-26,52.42,54.19,106438000
GOOGL,2018-10-29,54.83,51.74,81290000
GOOGL,2018-10-30,51.0,52.48,59768000
GOOGL,2018-10-31,53.41,54.53,70916000
GOOGL,2018-11-01,54.57,54.3,40132000
GOOGL,2018-11-02,54.45,53.57,43438000
GOOGL,2018-11-05,53.63,52.79,45358000
GOOGL,2018-11-06,52.75,53.48,28660000
GOOGL,2018-11-07,54.17,55.41,43388000
GOOGL,2018-11-08,55.37,54.73,33694000
GOOGL,2018-11-09,54.2,53.85,34860000
GOOGL,2018-11-12,53.66,52.47,34002000
GOOGL,2018-11-13,52.74,52.4,25750000
GOOGL,2018-11-14,53.0,52.73,34666000
GOOGL,2018-11-15,52.57,53.55,41584000
GOOGL,2018-11-16,53.26,53.41,35366000
GOOGL,2018-11-19,53.17,51.37,45684000
GOOGL,2018-11-20,50.36,51.52,54458000
GOOGL,2018-11-21,52.27,52.17,29698000
GOOGL,2018-11-23,51.67,51.51,14178000
GOOGL,2018-11-26,52.2,52.8,31558000
GOOGL,2018-11-27,52.57,52.61,33048000
GOOGL,2018-11-28,52.87,54.59,46042000
GOOGL,2018-11-29,54.18,54.73,31004000
GOOGL,2018-11-30,54.78,55.48,59668000
GOOGL,2018-12-03,56.61,55.82,57532000
GOOGL,2018-12-04,55.65,53.12,45630000
GOOGL,2018-12-06,52.25,53.9,47436000
GOOGL,2018-12-07,53.61,52.33,42682000
GOOGL,2018-12-10,52.15,52.66,33652000
GOOGL,2018-12-11,53.35,53.08,33852000
GOOGL,2018-12-12,53.85,53.69,28960000
GOOGL,2018-12-13,53.78,53.68,24986000
GOOGL,2018-12-14,53.0,52.59,36358000
GOOGL,2018-12-17,52.35,51.28,49932000
GOOGL,2018-12-18,51.7,52.17,43640000
GOOGL,2018-12-19,52.36,51.77,58264000
GOOGL,2018-12-20,51.3,51.18,53674000
GOOGL,2018-12-21,51.6,49.56,104656000
GOOGL,2018-12-24,49.22,49.23,36360000
GOOGL,2018-12-26,49.9,52.39,46318000
GOOGL,2018-12-27,51.31,52.65,45996000
GOOGL,2018-12-28,52.97,52.33,34398000
GOOGL,2018-12-31,52.89,52.25,33110000
GOOGL,2019-01-02,51.36,52.73,31868000
GOOGL,2019-01-03,52.53,51.27,41960000
GOOGL,2019-01-04,52.13,53.9,46022000
GOOGL,2019-01-07,54.05,53.8,47446000
GOOGL,2019-01-08,54.3,54.27,35414000
GOOGL,2019-01-09,54.4,54.08,26998000
GOOGL,2019-01-10,53.75,53.94,26598000
GOOGL,2019-01-11,53.49,53.22,30864000
GOOGL,2019-01-14,52.67,52.58,28490000
GOOGL,2019-01-15,52.9,54.33,37518000
GOOGL,2019-01-16,54.5,54.48,38280000
GOOGL,2019-01-17,54.4,54.96,24896000
GOOGL,2019-01-18,55.43,55.37,44892000
GOOGL,2019-01-22,54.8,53.93,39632000
GOOGL,2019-01-23,54.34,54.22,25194000
GOOGL,2019-01-24,54.13,54.2,29114000
GOOGL,2019-01-25,54.71,55.08,23260000
GOOGL,2019-01-28,54.5,53.99,29334000
GOOGL,2019-01-29,54.05,53.5,19704000
GOOGL,2019-01-30,53.87,54.9,29452000
GOOGL,2019-01-31,55.61,56.29,40232000
GOOGL,2019-02-01,56.11,55.93,33116000
GOOGL,2019-02-04,55.95,57.07,78408000
GOOGL,2019-02-05,56.48,57.59,82296000
GOOGL,2019-02-06,57.46,56.14,48256000
GOOGL,2019-02-07,55.59,55.3,38298000
