st_code,st_date,st_open,st_close,st_volume
NFLX,2018-10-18,36.07,34.67,184610000
NFLX,2018-10-19,35.1,33.27,167172000
NFLX,2018-10-22,33.31,32.95,170972000
NFLX,2018-10-23,31.8,33.32,149073000
NFLX,2018-10-24,33.23,30.18,190393000
NFLX,2018-10-25,30.71,31.29,133469000
NFLX,2018-10-26,30.05,29.98,196160000
NFLX,2018-10-29,30.53,28.48,216988000
NFLX,2018-10-30,27.56,28.58,236857000
NFLX,2018-10-31,29.78,30.18,203603000
NFLX,2018-11-01,30.46,31.74,151215000
NFLX,2018-11-02,31.8,30.91,134046000
NFLX,2018-11-05,31.11,31.54,102830000
NFLX,2018-11-06,31.48,31.08,97104000
NFLX,2018-11-07,31.29,32.75,133283000
NFLX,2018-11-08,32.8,31.79,110239000
NFLX,2018-11-09,31.11,30.35,134808000
NFLX,2018-11-12,30.0,29.41,109248000
NFLX,2018-11-13,29.5,29.44,122322000
NFLX,2018-11-14,30.04,28.67,168536000
NFLX,2018-11-15,28.55,29.01,99671000
NFLX,2018-11-16,28.71,28.62,90995000
NFLX,2018-11-19,28.38,27.06,129938000
NFLX,2018-11-20,25.46,26.7,166938000
NFLX,2018-11-21,27.44,26.21,110230000
NFLX,2018-11-23,26.01,25.88,52451000
NFLX,2018-11-26,26.06,26.14,124986000
NFLX,2018-11-27,25.92,26.66,111495000
NFLX,2018-11-28,27.2,28.26,148013000
NFLX,2018-11-29,28.23,28.88,154315000
NFLX,2018-11-30,28.8,28.61,118601000
NFLX,2018-12-03,29.32,29.03,141174000
NFLX,2018-12-04,28.81,27.53,128006000
NFLX,2018-12-06,26.83,28.29,130743000
NFLX,2018-12-07,28.25,26.51,124667000
NFLX,2018-12-10,26.42,26.97,96056000
NFLX,2018-12-11,27.41,26.53,98432000
NFLX,2018-12-12,26.77,27.49,114567000
NFLX,2018-12-13,27.76,27.6,83793000
NFLX,2018-12-14,27.18,26.68,99153000
NFLX,2018-12-17,26.65,26.28,96347000
NFLX,2018-12-18,26.33,27.09,103501000
NFLX,2018-12-19,27.0,26.68,137884000
NFLX,2018-12-20,26.46,26.06,167929000
NFLX,2018-12-21,26.38,24.64,213976000
NFLX,2018-12-24,24.2,23.39,95476000
NFLX,2018-12-26,23.39,25.37,144027000
NFLX,2018-12-27,25.01,25.56,122352000
NFLX,2018-12-28,25.79,25.61,109928000
NFLX,2018-12-31,26.02,26.77,135089000
NFLX,2019-01-02,25.93,26.77,116795000
NFLX,2019-01-03,27.02,27.12,149696000
NFLX,2019-01-04,28.19,29.76,193301000
NFLX,2019-01-07,30.21,31.53,186201000
NFLX,2019-01-08,32.0,32.03,153592000
NFLX,2019-01-09,31.77,32.0,133432000
NFLX,2019-01-10,31.46,32.47,134725000
NFLX,2019-01-11,33.1,33.76,195004000
NFLX,2019-01-14,33.42,33.29,104996000
NFLX,2019-01-15,34.96,35.46,211812000
NFLX,2019-01-16,35.4,35.14,153855000
NFLX,2019-01-17,34.95,35.32,188712000
NFLX,2019-01-18,35.2,33.91,266210000
NFLX,2019-01-22,33.49,32.52,179414000
NFLX,2019-01-23,32.83,32.2,134801000
NFLX,2019-01-24,32.06,32.67,111316000
NFLX,2019-01-25,32.87,33.81,111529000
NFLX,2019-01-28,33.47,33.57,86521000
NFLX,2019-01-29,33.59,32.89,76552000
NFLX,2019-01-30,33.28,34.07,92345000
NFLX,2019-01-31,33.97,33.95,85355000
NFLX,2019-02-01,33.72,33.99,98278000
NFLX,2019-02-04,34.26,35.13,90514000
NFLX,2019-02-05,35.32,35.58,90466000
NFLX,2019-02-06,35.7,35.22,67177000
NFLX,2019-02-07,34.79,34.47,78645000
NFLX,2019-02-08,33.8,34.76,75614000
NFLX,2019-02-11,35.0,34.57,54549000
NFLX,2019-02-12,34.81,36.0,104294000
NFLX,2019-02-13,35.73,35.18,105591000
NFLX,2019-02-14,35.17,35.91,92953000
NFLX,2019-02-15,35.85,35.69,92300000
NFLX,2019-02-19,35.58,36.19,73966000
NFLX,2019-02-20,36.49,35.99,81107000
NFLX,2019-02-21,36.0,35.7,62279000
NFLX,2019-02-22,36.03,36.3,70882000
NFLX,2019-02-25,36.7,36.39,75693000
NFLX,2019-02-26,36.3,36.5,49446000
NFLX,2019-02-27,36.35,36.29,56299000
NFLX,2019-02-28,36.25,35.81,61868000
NFLX,2019-03-01,36.23,35.73,55265000
NFLX,2019-03-04,35.97,35.1,74870000
NFLX,2019-03-05,35.15,35.43,59378000
NFLX,2019-03-06,35.36,35.96,62119000
NFLX,2019-03-07,36.02,35.26,61513000
NFLX,2019-03-08,34.58,34.96,68988000
NFLX,2019-03-11,35.2,35.89,53873000
NFLX,2019-03-12,35.94,35.63,51646000
NFLX,2019-03-13,35.58,36.12,64441000
NFLX,2019-03-14,36.05,35.88,52714000
NFLX,2019-03-15,36.1,36.15,84445000
NFLX,2019-03-18,36.25,36.34,71947000
NFLX,2019-03-19,36.64,35.88,75414000
NFLX,2019-03-20,35.89,37.52,109172000
NFLX,2019-03-21,37.4,37.79,85440000
NFLX,2019-03-22,37.6,36.1,86613000
NFLX,2019-03-25,35.9,36.62,84738000
NFLX,2019-03-26,36.79,36.0,76665000
NFLX,2019-03-27,36.1,35.34,78524000
NFLX,2019-03-28,35.45,35.46,43610000
NFLX,2019-03-29,35.72,35.66,47056000
NFLX,2019-04-01,35.9,36.7,70361000
NFLX,2019-04-02,36.62,36.77,51587000
NFLX,2019-04-03,36.93,36.97,53689000
NFLX,2019-04-04,37.01,36.79,46273000
NFLX,2019-04-05,36.9,36.55,39055000
NFLX,2019-04-08,36.51,36.14,46538000
NFLX,2019-04-09,36.05,36.47,54392000
NFLX,2019-04-10,36.58,36.39,45456000
NFLX,2019-04-11,36.5,36.76,65269000
NFLX,2019-04-12,36.07,35.11,156462000
NFLX,2019-04-15,35.07,34.89,88423000
NFLX,2019-04-16,35.5,35.95,187402000
NFLX,2019-04-17,36.51,35.47,180541000
NFLX,2019-04-18,35.5,36.03,83532000
NFLX,2019-04-22,35.97,37.73,119805000
NFLX,2019-04-23,37.54,38.19,100898000
NFLX,2019-04-24,38.11,37.42,65419000
NFLX,2019-04-25,37.45,36.83,62555000
NFLX,2019-04-26,36.83,37.49,56219000
NFLX,2019-04-29,37.37,37.18,38217000
NFLX,2019-04-30,36.96,37.05,38701000
NFLX,2019-05-01,37.4,37.88,92573000
NFLX,2019-05-02,37.8,37.91,53982000
NFLX,2019-05-03,38.15,38.5,51303000
NFLX,2019-05-06,37.77,37.87,57931000
NFLX,2019-05-07,37.7,37.05,69749000
NFLX,2019-05-08,36.79,36.44,65720000
NFLX,2019-05-09,36.09,36.28,58826000
NFLX,2019-05-10,36.16,36.1,56571000
NFLX,2019-05-13,35.23,34.53,80267000
NFLX,2019-05-14,34.87,34.56,53530000
NFLX,2019-05-15,34.33,35.5,63401000
NFLX,2019-05-16,35.64,35.93,64415000
NFLX,2019-05-17,35.64,35.44,47254000
NFLX,2019-05-20,35.12,34.81,46215000
NFLX,2019-05-21,35.1,35.43,40264000
NFLX,2019-05-22,35.8,35.97,62294000
NFLX,2019-05-23,35.55,35.22,56304000
NFLX,2019-05-24,35.54,35.44,38310000
NFLX,2019-05-28,35.44,35.51,47171000
NFLX,2019-05-29,35.36,34.92,56589000
NFLX,2019-05-30,35.06,35.19,40080000
NFLX,2019-05-31,34.72,34.33,50234000
NFLX,2019-06-03,34.36,33.66,78496000
NFLX,2019-06-04,34.5,35.34,78916000
NFLX,2019-06-05,35.44,35.57,50201000
NFLX,2019-06-06,35.48,35.71,37100000
NFLX,2019-06-07,35.74,36.09,47773000
NFLX,2019-06-10,36.37,35.2,78103000
NFLX,2019-06-11,35.5,35.13,53967000
NFLX,2019-06-12,35.18,34.56,45847000
NFLX,2019-06-13,34.72,34.34,62093000
NFLX,2019-06-14,34.16,33.97,50190000
NFLX,2019-06-17,34.27,35.06,53582000
NFLX,2019-06-18,35.56,35.71,54285000
NFLX,2019-06-19,36.17,36.35,56672000
NFLX,2019-06-20,36.59,36.52,58995000
NFLX,2019-06-21,36.5,36.92,74484000
NFLX,2019-06-24,37.03,37.1,48302000
NFLX,2019-06-25,37.08,36.03,57504000
NFLX,2019-06-26,36.16,36.22,36697000
NFLX,2019-06-27,36.32,37.0,41386000
NFLX,2019-06-28,37.03,36.73,45927000
NFLX,2019-07-01,37.35,37.46,49926000
NFLX,2019-07-02,37.49,37.54,36250000
NFLX,2019-07-03,37.67,38.17,37990000
NFLX,2019-07-05,37.83,38.06,37322000
NFLX,2019-07-08,37.82,37.62,31134000
NFLX,2019-07-09,37.91,37.99,69328000
NFLX,2019-07-10,38.28,38.1,58788000
NFLX,2019-07-11,38.11,37.95,43363000
NFLX,2019-07-12,37.87,37.33,66369000
NFLX,2019-07-15,37.29,36.66,79447000
NFLX,2019-07-16,37.01,36.6,58632000
NFLX,2019-07-17,36.62,36.24,136395000
NFLX,2019-07-18,32.38,32.52,312871000
NFLX,2019-07-19,32.34,31.51,163025000
NFLX,2019-07-22,31.2,31.06,177180000
NFLX,2019-07-23,31.14,30.73,91711000
NFLX,2019-07-24,31.05,31.79,119618000
NFLX,2019-07-25,31.89,32.65,107985000
NFLX,2019-07-26,32.88,33.58,108475000
NFLX,2019-07-29,33.6,33.27,57828000
NFLX,2019-07-30,32.92,32.59,60293000
NFLX,2019-07-31,32.52,32.3,62595000
NFLX,2019-08-01,32.42,31.95,65632000
NFLX,2019-08-02,31.75,31.88,62803000
NFLX,2019-08-05,31.1,30.76,86925000
NFLX,2019-08-06,31.06,31.01,61791000
NFLX,2019-08-07,30.26,30.43,93224000
NFLX,2019-08-08,31.1,31.59,59059000
NFLX,2019-08-09,31.37,30.89,53491000
NFLX,2019-08-12,30.55,31.08,65317000
NFLX,2019-08-13,30.98,31.23,52894000
NFLX,2019-08-14,30.8,29.91,73558000
NFLX,2019-08-15,29.95,29.58,96292000
NFLX,2019-08-16,29.89,30.28,69058000
NFLX,2019-08-19,30.62,30.94,49422000
NFLX,2019-08-20,30.46,29.9,73499000
NFLX,2019-08-21,30.16,29.78,56854000
NFLX,2019-08-22,29.86,29.69,49742000
NFLX,2019-08-23,29.5,29.14,63249000
NFLX,2019-08-26,29.52,29.5,46957000
NFLX,2019-08-27,29.45,29.1,63094000
NFLX,2019-08-28,28.95,29.18,39557000
NFLX,2019-08-29,29.5,29.68,43885000
NFLX,2019-08-30,29.88,29.38,44464000
NFLX,2019-09-03,29.08,28.93,36828000
NFLX,2019-09-04,29.12,29.15,46525000
